Filename,Title,Keywords,Category,Releases,error
Tech_Old_1.jpg,Senior artisan using 3D resin printer in workshop,"senior, artisan, 3d printing, resin, technology, active aging, workshop, craftsmanship",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_2.jpg,Detailed resin model printing by elderly craftsman,"3d printing, resin, detail, craft, elderly, technology, innovation, maker",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_3.jpg,Grandfather swiping on a smartphone screen,"senior, smartphone, digital inclusion, technology, lifestyle, connectivity, communication",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_4.jpg,Elderly man interacting with mobile app,"app, smartphone, technology, elderly, accessibility, digital skills, screen",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_5.jpg,Grandmother laughing while holding mobile phone,"grandmother, laughing, smartphone, happiness, technology, connection, portrait",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_6.jpg,Senior maestro playing holographic musical interface,"hologram, music, instrument, technology, future, composer, digital art, senior tech",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_7.jpg,Maestro performing with light-based holographic notes,"holographic, futuristic, music, conducting, digital interface, elderly, innovation",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_8.jpg,Close up of elderly hands holding tech device,"hands, technology, detail, device, elderly, arthritis, accessibility, human tech",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_9.jpg,Portrait of senior man with futuristic tablet,"tablet, technology, portrait, elderly, digital native, wisdom, silver economy",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_10.jpg,Man interacting with floating digital screen,"ai, interface, future, technology, interactive, elderly, smart home, visualization",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_11.jpg,Elderly man analyzing data on glowing screen,"data, analysis, tech, future, elderly, intelligence, holographic, workstation",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_12.jpg,African senior operating professional drone in farm,"drone, agriculture, technology, farmer, rural, innovation, digital farming, senior",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_13.jpg,Man laughing while flying drone over green fields,"drone, flying, happiness, rural, farm, aerial, landscape, technology",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_14.jpg,Senior man reading e-book on digital e-reader,"e-reader, reading, books, technology, lifestyle, screen, comfort, elderly",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_15.jpg,Relaxed man with e-ink device in modern room,"e-reader, reading, relaxing, technology, domestic life, smart home, device",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_16.jpg,Elderly man stretching on smart interactive yoga mat,"fitness, yoga, smart mat, technology, health, wellness, stretching, active aging",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_17.jpg,Man following fitness routine with digital guides,"fitness, guide, mat, tech, workout, elderly, health app, exercise",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_18.jpg,Senior man walking with high-tech mobility assistant,"mobility, aid, walking, wearable, technology, health, support, exoskeleton",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_19.jpg,Elderly man exploring outdoors with smart assistant,"outdoors, walking, technology, mobility, safety, assistance, life quality",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_20.jpg,Senior woman adjusting tablet settings outdoors,"tablet, settings, tech, grandmother, focus, sunlight, digital life",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_21.jpg,Woman smiling while using large screen tablet,"tablet, smiling, app, technology, lifestyle, grandmother, connection",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_22.jpg,Woman laughing with cute AI digital companion,"ai, companion, robot, emotional, laughing, technology, friendship, comfort",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_23.jpg,Senior lady interacting with responsive digital avatar,"avatar, ai, interaction, future, technology, assistant, smiling, elderly",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_24.jpg,Woman petting a fluffy robotic companion pet,"robotic pet, therapy, comfort, fur, technology, companionship, elderly, health",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_25.jpg,Smiling woman with robotic dog in her lap,"robotic dog, therapy, pet, happiness, technology, home life, mental health",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_26.jpg,Woman using futuristic touch kiosk for service,"kiosk, screen, interface, service, technology, urban, elderly, accessibility",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_27.jpg,Woman wearing VR headset for immersive travel,"vr, headset, travel, virtual reality, experience, immersive, elderly, tourism",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_28.jpg,Grandmother reaching out in virtual environment,"virtual reality, metaverse, immersion, tech, discovery, grandmother, wonder",19,,ERROR_MEDIA_CATEGORIES_INVALID
Tech_Old_29.jpg,Portrait of smiling woman in VR headset,"vr, virtual, metaverse, technology, portrait, smiling, elderly, leisure",19,,ERROR_MEDIA_CATEGORIES_INVALID
